nom,vietnamese_clean,source,file_name
是日文曉有德并二營属将走出真福安塲,thị nhật văn hiểu hữu đức tịnh nhị dinh thuộc tướng tẩu xuất chân phúc an trường,DVSKTT,DVSKTT-5.txt
賊徒侵入石河地方,tặc đồ xâm nhập thạch hà địa phương,DVSKTT,DVSKTT-5.txt
次日文曉有德再率属将進入駐營于石河大奈爲守禦之計,thứ nhật văn hiểu hữu đức tái suất thuộc tướng tiến nhập trú dinh vu thạch hà đại nại vi thủ ngự chi kế,DVSKTT,DVSKTT-5.txt
五月召黎文曉黎有德與其属将赴京,ngũ nguyệt triệu lê văn hiểu lê hữu đức dữ kì thuộc tướng phó kinh,DVSKTT,DVSKTT-5.txt
行至途中文曉痛跡而卒,hành chí đồ trung văn hiểu thống tích nhi tốt,DVSKTT,DVSKTT-5.txt
六月論敗衂,lục nguyệt luận bại nục,DVSKTT,DVSKTT-5.txt
罪追收黎文曉勑印兵民貶黎有德爲都督僉事属将黎時憲鄭丙等並罷職爵收民禄黎文暿武百福等黜爲另兵黎文暘充軍,tội truy thu lê văn hiểu sắc ấn binh dân biếm lê hữu đức vi đô đốc thiêm sự thuộc tướng lê thì hiến trịnh bính đẳng tịnh bãi chức tước thu dân lộc lê văn hi vũ bách phúc đẳng truất vi lánh binh lê văn dương sung quân,DVSKTT,DVSKTT-5.txt
貶督同陳玉厚爲尚寶寺卿武良爲工科給事中監護武自快爲乂安處參議,biếm đốc đồng trần ngọc hậu vi thượng bảo tự khanh vũ lương vi công khoa cấp sự trung giám hộ vũ tự khoái vi nghệ an xứ tham nghị,DVSKTT,DVSKTT-5.txt
以布政人阮必𧼈不從范必全向賊堅守臣節許陞職爵,dĩ bố chính nhân nguyễn tất thú bất tòng phạm tất toàn hướng tặc kiên thủ thần tiết hứa thăng chức tước,DVSKTT,DVSKTT-5.txt
是月命太保溪郡公鄭仗爲統領陪從吏部左侍郎演壽伯阮文濯爲督是吏科都給事中義江男阮性爲副督視領属将十八員直扺乂安南河地方進討順,thị nguyệt mệnh thái bảo khê quận công trịnh trượng vi thống lĩnh bồi tụng lại bộ tả thị lang diễn thọ bá nguyễn văn trạc vi đốc thị lại khoa đô cấp sự trung nghĩa giang nam nguyễn tính vi phó đốc thị lĩnh thuộc tướng thập bát viên trực chỉ nghệ an nam hà địa phương tiến thảo thuận,DVSKTT,DVSKTT-5.txt
化,hoá,DVSKTT,DVSKTT-5.txt
時有官劎銀色化爲銅色范公著謹啓以爲此亦異事不可以爲常而忽之,thời hữu quan kiếm ngân sắc hoá vi đồng sắc phạm công trứ cẩn khải dĩ vi thử diệc dị sự bất khả dĩ vi thường nhi hốt chi,DVSKTT,DVSKTT-5.txt
今天下習尚文飾,kim thiên hạ tập thượng văn sức,DVSKTT,DVSKTT-5.txt
兵士饑渴而不知恤徒以金銀飾於軍噐專務奢靡以致化爲銅色,binh sĩ cơ khát nhi bất tri tuất đồ dĩ kim ngân sức ư quân khí chuyên vụ xa mĩ dĩ trí hoá vi đồng sắc,DVSKTT,DVSKTT-5.txt
意者天心示警使之速改以爲實事也,ý giả thiên tâm thị cảnh sử chi tốc cải dĩ vi thực sự dã,DVSKTT,DVSKTT-5.txt
恭乞因此改之削去銀飾以僃軍粮務爲銅漆以實軍噐亦可以應是祥而做好兵事奮揚武衛也,cung khất nhân thử cải chi tước khử ngân sức dĩ bị quân lương vụ vi đồng tất dĩ thực quân khí diệc khả dĩ ứng thị tường nhi tố hảo binh sự phấn dương vũ vệ dã,DVSKTT,DVSKTT-5.txt
秋八月鄭仗領大兵進至奇華河西駐札左次樂川,thu bát nguyệt trịnh trượng lĩnh đại binh tiến chí kì hoa hà tây trú trát tả thứ lạc xuyên,DVSKTT,DVSKTT-5.txt
賊兵薄之諸軍敗走盡棄軍資棄械,tặc binh bác chi chư quân bại tẩu tận khí quân tư khí giới,DVSKTT,DVSKTT-5.txt
賊船入奇羅海門,tặc thuyền nhập kì la hải môn,DVSKTT,DVSKTT-5.txt
武文添,vũ văn thiêm,DVSKTT,DVSKTT-5.txt
移船出駐于丹涯海門,di thuyền xuất trú vu đan nhai hải môn,DVSKTT,DVSKTT-5.txt
賊船入南界海門,tặc thuyền nhập nam giới hải môn,DVSKTT,DVSKTT-5.txt
阮有勅望風而走黎仁厚且戦且却,nguyễn hữu sắc vọng phong nhi tẩu lê nhân hậu thả chiến thả khước,DVSKTT,DVSKTT-5.txt
鄭仗與諸将走至真福安塲地方駐營,trịnh trượng dữ chư tướng tẩu chí chân phúc an trường địa phương trú dinh,DVSKTT,DVSKTT-5.txt
又分兵屯于北河自義烈至丹涯海門以遏賊兵,hựu phân binh đồn vu bắc hà tự nghĩa liệt chí đan nhai hải môn dĩ át tặc binh,DVSKTT,DVSKTT-5.txt
時鄧明制之子明則降于賊賊遂乘勢至天禄彬舍地方,thời đặng minh chế chi tử minh tắc hàng vu tặc tặc toại thừa thế chí thiên lộc bân xá địa phương,DVSKTT,DVSKTT-5.txt
南河爲之騷動,nam hà vị chi tao động,DVSKTT,DVSKTT-5.txt
是月王奏帝命西定王鄭柞親率諸營将士進討賊徒,thị nguyệt vương tấu đế mệnh tây định vương trịnh tạc thân suất chư dinh tướng sĩ tiến thảo tặc đồ,DVSKTT,DVSKTT-5.txt
九月大兵進至乂安處次于真福安塲,cửu nguyệt đại binh tiến chí nghệ an xứ thứ vu chân phúc an trường,DVSKTT,DVSKTT-5.txt
論樂川敗衂罪,luận lạc xuyên bại nục tội,DVSKTT,DVSKTT-5.txt
斬羅德代阮興讓絞謝世保󰰾鄭𥒥黎有禮職爵貶鄭柱爲都督,trảm la đức đại nguyễn hưng nhượng giảo tạ thế bảo bãi trịnh đá lê hữu lễ chức tước biếm trịnh trụ vi đô đốc,DVSKTT,DVSKTT-5.txt
同知,đồng tri,DVSKTT,DVSKTT-5.txt
又以舍吏杜公魁陳有財㸔戦徇私以過爲功並刖指,hựu dĩ xá lại đỗ công khôi trần hữu tài khán chiến tuẫn tư dĩ quá vi công tịnh ngoạt chỉ,DVSKTT,DVSKTT-5.txt
又論水道功過,hựu luận thuỷ đạo công quá,DVSKTT,DVSKTT-5.txt
以武文添爲左都督復仍張得壽爲程郡公貶阮有敕職爵,dĩ vũ văn thiêm vi tả đô đốc phục nhưng trương đắc thọ vi trình quận công biếm nguyễn hữu sắc chức tước,DVSKTT,DVSKTT-5.txt
